hgnc_symbol	entrezgene_id	meanlogFC
RGS1	5996	1.8986587288413692
CHI3L1	1116	1.5366867639975883
HLA-DPA1	3113	1.414914000640505
GPR34	2857	1.2651577815600485
C1QC	714	1.1929807826027679
OLR1	4973	1.1893161084055182
ALOX5AP	241	1.1756225408222734
HLA-DPB1	3115	1.170527265480644
VSIG4	11326	1.156116524585189
ADORA3	140	1.1459640148024457
C1QB	713	1.1123936677111077
SLC14A1	6563	1.068822464724839
LAPTM5	7805	1.0601927337804824
HLA-DMA	3108	1.0512100148714367
CD74	972	1.041221218604007
CD14	929	1.0371043489256402
MT1G	4495	1.0333646102983902
C3	718	1.018176636698346
AQP1	358	1.0103896848567384
CD44	960	1.0038019485830931
GPNMB	10457	0.9778888285144971
RNASE6	6039	0.9723503882961659
TYROBP	7305	0.9673599094267447
S100A8	6279	0.9633345102808408
MT1X	4501	0.9240262254879958
APOLD1	81575	0.9197674178813209
TREM2	54209	0.9175580611742973
HCLS1	3059	0.9137516825275065
CX3CR1	1524	0.907472187358783
LY96	23643	0.9037771260198331
APLNR	187	0.9007683219146241
C1orf162	128346	0.8708445428960756
ZFP36	7538	0.8533001206320936
MT1M	4499	0.8427716132851932
C1QA	712	0.8382265800048438
CCL2	6347	0.8374062947456671
MS4A6A	64231	0.8321063426639554
FOS	2353	0.8260792216393718
MAFF	23764	0.8205659764221154
GFAP	2670	0.8191254918369895
SCIN	85477	0.8055996851559453
ADM	133	0.7940479036727917
ANXA1	301	0.7870903775154305
CHI3L2	1117	0.7859795589011531
ID3	3399	0.7843304896093493
ITGB2	3689	0.7823737517950424
GALNT15	117248	0.7800800198566282
CEBPD	1052	0.7778325029250448
HILPDA	29923	0.7775285740536604
NUPR1	26471	0.7766160070878323
TMEM176B	28959	0.7549412546513885
DUSP1	1843	0.7467345726540993
LY86	9450	0.7423107696127964
C3AR1	719	0.7413631454490934
TMEM176A	55365	0.7357958776362534
PLAC8	51316	0.7357507029878496
METTL7B	196410	0.7339671603666997
PTGS1	5742	0.7326322224085153
SRGN	5552	0.716239866650386
DDIT4L	115265	0.7146861936857154
PHYHD1	254295	0.7107144371935501
LYVE1	10894	0.7076314244012583
TLR2	7097	0.7066796154163351
CXCR4	7852	0.7065697925821333
TNC	3371	0.7040062431991814
DDIT4	54541	0.7008998368498163
CLEC5A	23601	0.6994962301583088
CD53	963	0.6930862174394443
MS4A4A	51338	0.6900466996898955
SERPINA1	5265	0.6857544534221449
CD37	951	0.6819059388299813
CSF1R	1436	0.6811453441276214
EVI2B	2124	0.6798935150749865
CCR1	1230	0.6749761225460662
IFITM2	10581	0.6691684233158202
FKBP5	2289	0.6670745936977935
ANGPTL4	51129	0.6625416552988908
CD163	9332	0.6620019988679706
MT-ND6	4541	0.6521827962546132
ARHGDIB	397	0.6485605042806601
CFI	3426	0.6467380205601319
IL13RA1	3597	0.6411613342556626
EMP3	2014	0.6411233313754283
HSPA1B	3304	0.6395496283964599
TMEM119	338773	0.6395403179383274
AIF1	199	0.6379750046060253
TIMP1	7076	0.6276752214098664
GEM	2669	0.6274131610027682
LAIR1	3903	0.6248173466430034
CAPG	822	0.6220021303980205
CXCL16	58191	0.6191690880021543
BAG3	9531	0.6064632508221397
SH3TC1	54436	0.6058043776076394
SLCO4A1	28231	0.6033437678166655
SYK	6850	0.6003047579421459
HMOX1	3162	0.5996455052727443
RNASE2	6036	0.5993721022260217
ITGB4	3691	0.5992288926413938
CABP7	164633	0.5979515294623203
GLIS3	169792	0.597474533550566
CTSH	1512	0.5963005855339203
MT1E	4493	0.5962703518377048
SRPX	8406	0.596112432724559
FGL2	10875	0.5955183202796186
CEBPA	1050	0.5954659414881696
CYBB	1536	0.5914937442923249
YBX3	8531	0.5900780630552136
PCDH8	5100	0.5880780401369368
ANGPT2	285	0.5816639938741672
ANGPT1	284	0.5792764019560956
CEBPB	1051	0.5732290567778744
MT1H	4496	0.5731970733422438
MGST1	4257	0.5704062630745446
GADD45B	4616	0.5686410174693535
GIMAP2	26157	0.567918212802967
SPARC	6678	0.5671667277673551
HPSE	10855	0.5646939098414023
CTSS	1520	0.56353893664927
NFKBIA	4792	0.5628751405737011
AQP4	361	0.5603650005656027
RASL12	51285	0.5601479814246781
S100A11	6282	0.5592686251954238
GMPR	2766	0.5589142582474276
SELPLG	6404	0.5579641883067255
LTF	4057	0.5564093768270615
FCGBP	8857	0.5543262350214375
LAMP5	24141	0.5532126152680874
CCN1	3491	0.5527638832040451
TRIM22	10346	0.5498590126877372
MS4A14	84689	0.54618285750152
COL5A2	1290	0.5460900537334257
CD69	969	0.5426927007676285
C1S	716	0.5405053760607932
RHBDF2	79651	0.5392553252797967
RTP5	285093	0.5346162949088464
FAS	355	0.5341285967252625
PLIN1	5346	0.5340903132773298
PYCARD	29108	0.5339705504088901
PLSCR4	57088	0.533871581052221
FZD7	8324	0.5317453278917048
RFX4	5992	0.527560915768897
STOM	2040	0.5259223349191702
HSPB1	3315	0.5255483423439946
HSPB8	26353	0.5253948449964811
SLC7A2	6542	0.523215005785469
C1R	715	0.522833857056753
PCK1	5105	0.5224894666104878
NCF2	4688	0.5222658290480049
OSMR	9180	0.5185915794778109
CYTL1	54360	0.5185042922092387
TLR4	7099	0.5174274783199229
INHBA	3624	0.5161430924067294
DEPP1	11067	0.5142969384820533
ADAM28	10863	0.5120115183109166
ADIRF	10974	0.5106063932248599
AHNAK	79026	0.5097929838413564
TMEM255A	55026	0.5087634153910927
CXCL1	2919	0.5079650237115638
CAPS	828	0.5072000073499177
CD300A	11314	0.5057195860467454
FXYD5	53827	0.5051873403303837
HPGDS	27306	0.5045315647209154
HK2	3099	0.5039809206395844
PGAM2	5224	0.5034333625906937
BBOX1	8424	0.5011584451387647
CRISPLD1	83690	0.5000292894623164
OTOS	150677	0.49668070990951474
PTPRC	5788	0.49653972353689335
GPR183	1880	0.4959314376358228
KCNE4	23704	0.4953444080552609
FOXF1	2294	0.4933362369544336
OMD	4958	0.4924316190017253
TDRD9	122402	0.4912445301501198
GBP1	2633	0.491152100796596
PLAAT4	5920	0.48739080143712243
GBP3	2635	0.4863431119773183
HES1	3280	0.48500593164966643
YAP1	10413	0.4838115885228298
TLR7	51284	0.4834883600064006
GYG2	8908	0.48325436115325493
SFRP2	6423	0.4814406819802075
OGFRL1	79627	0.48118373541616233
LILRB4	11006	0.4801697420777127
GJA1	2697	0.47817426197380275
SLC47A1	55244	0.477837047391529
CSF2RB	1439	0.4773388613080809
BTG2	7832	0.4754282830107228
PNP	4860	0.47494944785523163
HAVCR2	84868	0.4738663523558464
EMP1	2012	0.4735973057122176
ITPKB	3707	0.47355904096926604
NEBL	10529	0.47159373909063973
CLIC2	1193	0.46924896030103147
CCN2	1490	0.46757029662138594
VAMP8	8673	0.4672726190859011
EMX2	2018	0.46489507075393854
HLA-DOA	3111	0.46435613036117473
SLC16A9	220963	0.46383045301591386
LYZ	4069	0.4630574265972065
LGALS3	3958	0.46290289235611715
TNFSF13B	10673	0.46284104860632436
ZFP36L1	677	0.46195938709046747
TM4SF1	4071	0.46082703791119384
SLCO2B1	11309	0.460776459858387
EDN1	1906	0.4601369800057862
PALD1	27143	0.45793597392463914
CD86	942	0.457321729218902
IL10RA	3587	0.45703988831157183
GPR65	8477	0.4558138629456576
ARHGEF6	9459	0.4556990121112996
SDC4	6385	0.4533365169770489
SPP1	6696	0.45132152827297567
ITGAM	3684	0.4507238864475638
TLR5	7100	0.4497598015338342
FAM189A2	9413	0.44821853687950863
COTL1	23406	0.44807744790414583
ACKR1	2532	0.4478656328937354
IGDCC4	57722	0.44620611350715533
ANXA2	302	0.44529620853643026
MTHFD2	10797	0.44485285297847765
