entrez	symbol	logFC	pvalue	padj
1	A1BG	-0.24887091587974366	1	1
2	A2M	0.577814305787306	0.3311989880401077	0.5666010637124235
9	NAT1	3.099890285319739	1.4662864497374423e-5	1.361893581194159e-4
10	NAT2	3.0848125945669573	0.011267622852241277	0.03523705135553131
12	SERPINA3	0.937037661325484	0.16936949960952227	0.3282927537308387
13	AADAC	1.3865624014874014	0.07746180017690116	0.17218522038227013
14	AAMP	-0.4564826888791541	0.17917078513887316	0.3438406901097442
15	AANAT	1.0466237725012129	0.14512396336239042	0.2887395041631383
18	ABAT	-0.08090223139025343	1	1
19	ABCA1	2.21547505884028	2.4967723165670074e-7	4.050573034388848e-6
20	ABCA2	0.2280814214504881	1	1
21	ABCA3	0.02489727875838646	1	1
22	ABCB7	-0.05980798563473847	1	1
24	ABCA4	3.2174305325101047	2.2557884497280346e-8	4.906805950152221e-7
25	ABL1	-0.24075070878931518	1	1
27	ABL2	0.16659767939879389	1	1
30	ACAA1	0.10720785105287221	1	1
32	ACACB	1.9575725930675958	5.246995494054007e-13	4.184876406166711e-11
33	ACADL	1.3611039288364875	0.051394953987101706	0.1231280181081367
34	ACADM	-0.5843119395805202	0.11091305096352508	0.23099754709079962
35	ACADS	0.13707317704416627	1	1
36	ACADSB	-0.4216301279785118	0.4805856028686344	0.7650998377439866
37	ACADVL	0.6280845236366268	0.07177938077131084	0.16202686980282172
38	ACAT1	-0.874657099237534	0.004998399343219029	0.0180804495053805
39	ACAT2	-0.5808275676436631	0.07036950699910492	0.15956281923036328
43	ACHE	-0.5231434145511789	0.041689386717348544	0.10378021245373543
47	ACLY	-0.2980445869454397	1	1
48	ACO1	-0.23241268300402596	1	1
50	ACO2	-0.4257049902815912	0.44258730043796357	0.7172642743012712
51	ACOX1	0.12410674516879885	1	1
52	ACP1	-0.7072914871501941	2.048826623711076e-4	0.001267280934279516
53	ACP2	-0.2588149661460715	1	1
54	ACP5	0.19056195876831103	1	1
56	ACRV1	2.2780643322101923	0.003126221987964687	0.01231999441860087
58	ACTA1	0.5872059188577551	0.479019634660945	0.7633571049285445
59	ACTA2	0.5271552667695959	0.5078814161679657	0.7995477457071166
60	ACTB	-0.47525569014449187	0.08797112797734415	0.19084278494652362
70	ACTC1	0.8031499215328526	0.21337094210529023	0.3959755470623119
71	ACTG1	-0.9292221072383056	1.353262705352335e-9	4.117673341603868e-8
72	ACTG2	1.9430821852874476	0.012882548895153315	0.03942659150237619
86	ACTL6A	-0.47256078999047213	0.47224473589186544	0.755189880681941
87	ACTN1	0.30118861012095227	1	1
88	ACTN2	0.5563049579821002	0.2282752900101981	0.41858090276536897
89	ACTN3	2.94517953062615	4.138842580073895e-5	3.3010405062892397e-4
90	ACVR1	-0.5733480683303201	0.2549563487686136	0.45812944868338695
91	ACVR1B	-0.3235470779430441	0.9449352625841058	1
92	ACVR2A	-0.4360602527474012	0.33694475496264575	0.5751223054874731
93	ACVR2B	0.38831225674352293	0.7084238740316895	1
94	ACVRL1	3.150118457870404	5.570946835812556e-4	0.002916505633388095
95	ACY1	1.8178943633560976	0.01475763642835737	0.044130168180978216
97	ACYP1	-0.453278280023534	0.4319685285827348	0.7034438776363545
98	ACYP2	-0.5865684290705778	0.21809036905795565	0.40317039603900917
100	ADA	0.8111830325753197	0.22295039521387847	0.41064061595726253
101	ADAM8	0.7580262819690788	0.15473921137348054	0.3045036294093464
102	ADAM10	-0.25743114133218853	1	1
103	ADAR	-0.09418479562230705	1	1
104	ADARB1	0.7321120081114892	2.5125764200619756e-4	0.001500831620666547
105	ADARB2	0.5407396340650047	0.2605404470845677	0.4663328505451086
107	ADCY1	0.3540273004923828	0.742910880885052	1
108	ADCY2	-0.041766894237649434	1	1
109	ADCY3	0.4227101494917343	0.5158721158248034	0.8094644363072555
111	ADCY5	0.165574939867812	1	1
112	ADCY6	0.5295519101514568	0.04850550291126694	0.11735400083874949
113	ADCY7	0.08870880148086925	1	1
114	ADCY8	0.24414891676670386	1	1
115	ADCY9	0.29263028520569856	1	1
116	ADCYAP1	-0.6631737674010536	0.010419773221074716	0.03302208683668712
117	ADCYAP1R1	0.2079402583210728	1	1
118	ADD1	-0.3836531092539926	0.5136949705820548	0.8068805091205294
119	ADD2	0.06536758831387715	1	1
120	ADD3	0.028378663582210625	1	1
123	PLIN2	0.796202007494665	0.1353203966644979	0.27242626180014035
124	ADH1A	4.167943666969196	2.342545429784553e-4	0.0014173746140673435
125	ADH1B	4.075016708084302	4.3136026755978774e-4	0.002360988248957341
126	ADH1C	4.8483155262985225	3.752180070969382e-5	3.0305294811788e-4
127	ADH4	3.253227054621839	0.0022347274128115447	0.009342052958082827
128	ADH5	-1.1356999383348905	1.5365149445044746e-10	6.257806319436406e-9
130	ADH6	2.7795065363852185	1.4977355843662657e-7	2.602006638978225e-6
131	ADH7	2.7047319619754893	0.011760483292111053	0.036496497597448836
132	ADK	-0.35770156459063085	0.8092324117282943	1
133	ADM	1.6182726493884056	0.02699791903672746	0.07249020444240416
134	ADORA1	0.22823529446422597	1	1
135	ADORA2A	0.03351572686554126	1	1
136	ADORA2B	5.76735342253919e-4	1	1
140	ADORA3	4.321627775048172	5.198518923987631e-6	5.598977721917317e-5
