id,type,name,description,target,belongs_to,pc,median_tau_score,ts_pc,sum_tau,Kang_Berch_Combined_Signature,Progerin_Signature,Serum_6hr_Signature_probeSet_summed2genes_before_LmFit,Serum_72hr_Signature_probeSet_summed2genes_before_LmFit,Serum_144hr_Signature_probeSet_summed2genes_before_LmFit,Serum_1hr_Signature_probeSet_summed2genes_before_LmFit,Serum_24hr_Signature_probeSet_summed2genes_before_LmFit
BRD-A80960055,CP,celastrol,"anti-inflammatory agent, antioxidant, HSP90 Inhibitor, NFKB pathway inhibitor, topoisomerase inhibitor","IL1B, TNF",Topoisomerase inhibitor,"12.86, 8.57",71.23,"1.88, 0.49",433.04,96.57,98.59,22.79,0,71.23,49.56,94.3
BRD-A48237631,CP,mitomycin-c,"DNA alkylating drug, DNA inhibitor, DNA synthesis inhibitor",,DNA synthesis inhibitor,"4.29, 2.86",65.9,"1.81, 0.56",413.3,91.19,65.9,54.33,88.95,81.05,-22.8,54.68
BRD-K97399794,CP,quercetin,"aldose reductase inhibitor, cytokine production inhibitor, EGFR inhibitor, glucosidase inhibitor, monoamine oxidase inhibitor, polar auxin transport inhibitor, quorum sensing signaling modulator, SIRT activator, sodium channel blocker, tyrosine phosphatase inhibitor, xanthine oxidase inhibitor","PIK3CG, AKR1B1, ATP5A1, ATP5B, ATP5C1, CYP2C8, EGFR, GAA, HCK, HIBCH, MAOA, PIM1, PTPN1, SCN5A, SIRT1, STK17B, UGT3A1, XDH",,"2.86, 0.00",54.14,"0.98, 0.30",331.92,75.57,78.68,1.88,-1.8,84.95,38.5,54.14
BRD-A85860691,CP,chaetocin,"histone lyinse methyltransferase inhibitor, histone lysine N methyltransferase inhibitor","EHMT2, SUV39H1",,"5.71, 2.86",45.4,"0.70, 0.05",322.58,48.71,94.33,45.4,12.51,82.12,14.51,25
BRD-A36630025,CP,SN-38,topoisomerase inhibitor,TOP1,Topoisomerase inhibitor,"7.14, 2.86",30.31,"3.27, 1.09",309.75,95.24,82.38,30.31,83.2,27.03,-23.83,15.42
BRD-K23192422,CP,lestaurtinib,"FLT3 inhibitor, growth factor receptor inhibitor, JAK inhibitor, apoptosis stimulant","FLT3, NTRK1, JAK2, NTRK2, NTRK3","FLT3 inhibitor, JAK inhibitor","5.71, 1.43",68.21,"3.09, 0.86",304.62,75.42,89.46,68.21,71.92,9.06,-56.4,46.95
BRD-K78126613,CP,menadione,"CDC inhibitor, mitochondrial DNA polymerase inhibitor, phosphatase inhibitor, pyruvate kinase isozyme inhibitor","AOX1, BGLAP, F10, F2, F7, F9, GGCX, NQO1, NQO2, PKM, PROC, PROS1, PROZ, VKORC1, VKORC1L1",,"10.00, 7.14",29.65,"2.21, 0.41",303.05,99.12,81.55,-10.98,29.65,87.03,16.66,0.02
BRD-K63641886,CP,cefuroxime,cell wall synthesis inhibitor,,Bacterial cell wall synthesis inhibitor,"1.59, 0.00",48.75,"1.75, 0.41",289.16,3.77,76.65,15.32,7.45,61.22,76,48.75
BRD-K93331255,CP,lypressin,vasopressin receptor agonist,"AVPR1A, AVPR1B, AVPR2",,"5.71, 4.29",53.28,"0.77, 0.24",280.32,32.56,97.58,-64.07,64.82,53.28,2.92,93.23
BRD-A30437061,CP,camptothecin,"topoisomerase inhibitor, beta amyloid synthesis inhibitor, hypoxia inducible factor inhibitor","TOP1, HIF1A",Topoisomerase inhibitor,"17.14, 10.00",4.39,"2.19, 0.69",272.82,97.76,96.19,87.31,2.33,4.39,-11.39,-3.77
